BVG,Berlevåg Airport,NO
KRS,"Kristiansand Airport, Kjevik",NO
BDU,Bardufoss Airport,NO
EVE,"Harstad/Narvik Airport, Evenes",NO
VDB,"Fagernes Airport, Leirin",NO
FRO,Florø Airport,NO
OSL,"Oslo Airport, Gardermoen",NO
HAU,"Haugesund Airport, Karmøy",NO
HFT,Hammerfest Airport,NO
HVG,"Honningsvåg Airport, Valan",NO
KSU,"Kristiansund Airport, Kvernberget",NO
KKN,"Kirkenes Airport, Høybuktmoen",NO
LKN,Leknes Airport,NO
MEH,Mehamn Airport,NO
MOL,"Molde Airport, Årø",NO
MJF,"Mosjøen Airport, Kjærstad",NO
LKL,"Lakselv Airport, Banak",NO
NTB,Notodden Airport,NO
OLA,Ørland Airport,NO
HOV,"Ørsta-Volda Airport, Hovden",NO
MQN,"Mo i Rana Airport, Røssvoll",NO
RVK,"Rørvik Airport, Ryum",NO
RRS,Røros Airport,NO
RYG,"Moss Airport, Rygge",NO
LYR,"Svalbard Airport, Longyear",NO
SVJ,"Svolvær Airport, Helle",NO
SKN,"Stokmarknes Airport, Skagen",NO
SKE,Skien Airport,NO
SRP,"Stord Airport, Sørstokken",NO
SOJ,Sørkjosen Airport,NO
VAW,"Vardø Airport, Svartnes",NO
SSJ,"Sandnessjøen Airport, Stokka",NO
TOS,"Tromsø Airport, Langnes",NO
TRF,"Sandefjord Airport, Torp",NO
TRD,"Trondheim Airport, Værnes",NO
VDS,Vadsø Airport,NO
SVG,"Stavanger Airport, Sola",NO
BZG,Bydgoszcz Ignacy Jan Paderewski Airport,PL
GDN,Gdańsk Lech Wałęsa Airport,PL
KRK,Kraków John Paul II International Airport,PL
KTW,Katowice International Airport,PL
LUZ,Lublin Airport,PL
LCJ,Łódź Władysław Reymont Airport,PL
WMI,Modlin Airport,PL
POZ,Poznań-Ławica Airport,PL
RDO,Radom Airport,PL
RZE,Rzeszów-Jasionka Airport,PL
SZZ,"Szczecin-Goleniów ""Solidarność"" Airport",PL
SZY,Olsztyn-Mazury Airport,PL
WAW,Warsaw Chopin Airport,PL
WRO,Copernicus Wrocław Airport,PL
IEG,Zielona Góra-Babimost Airport,PL
RNB,Ronneby Airport,SE
GOT,Gothenburg-Landvetter Airport,SE
JKG,Jönköping Airport,SE
GSE,Gothenburg City Airport,SE
KVB,Skövde Airport,SE
THN,Trollhättan-Vänersborg Airport,SE
KSK,Karlskoga Airport,SE
MXX,Mora Airport,SE
NYO,Stockholm Skavsta Airport,SE
SCR,Scandinavian Mountains Airport,SE
KID,Kristianstad Airport,SE
KLR,Kalmar Airport,SE
MMX,Malmö Sturup Airport,SE
HAD,Halmstad Airport,SE
VXO,Växjö Kronoberg Airport,SE
EVG,Sveg Airport,SE
GEV,Gällivare Airport,SE
KRF,Kramfors-Sollefteå Höga Kusten Airport,SE
LYC,Lycksele Airport,SE
SDL,Sundsvall-Härnösand Airport,SE
OER,Örnsköldsvik Airport,SE
KRN,Kiruna Airport,SE
SFT,Skellefteå Airport,SE
UME,Umeå Airport,SE
VHM,Vilhelmina South Lapland Airport,SE
AJR,Arvidsjaur Airport,SE
SOO,Söderhamn Airport,SE
OSD,Åre Östersund Airport,SE
ORB,Örebro Airport,SE
HFS,Hagfors Airport,SE
KSD,Karlstad Airport,SE
VST,Stockholm Västerås Airport,SE
LLA,Luleå Airport,SE
ARN,Stockholm-Arlanda Airport,SE
BMA,Stockholm-Bromma Airport,SE
BLE,Dala Airport,SE
GVX,Gävle Sandviken Airport,SE
LPI,Linköping City Airport,SE
NRK,Norrköping Airport,SE
TYF,Torsby Airport,SE
EKT,Eskilstuna Airport,SE
VBY,Visby Airport,SE
AGH,Ängelholm-Helsingborg Airport,SE
SQO,Storuman Airport,SE
PJA,Pajala Airport,SE
HMV,Hemavan Airport,SE
SPM,Spangdahlem Air Base,DE
RMS,Ramstein Air Base,DE
FRZ,Fritzlar Army Airfield,DE
FCN,Nordholz Naval Airbase,DE
GKE,Geilenkirchen Air Base,DE
RLG,Rostock-Laage Airport,DE
WBG,Schleswig Air Base,DE
WIE,Wiesbaden Army Airfield,DE
IGS,Ingolstadt Manching Airport,DE
DGP,Daugavpils International Airport,LV
LPX,Liepāja International Airport,LV
RIX,Riga International Airport,LV
VNT,Ventspils International Airport,LV
KUN,Kaunas International Airport,LT
PLQ,Palanga International Airport,LT
PNV,Panevėžys Air Base,LT
SQQ,Šiauliai International Airport,LT
VNO,Vilnius International Airport,LT
KFZ,Kukës International Airport,AL
TIA,Tirana International Airport Mother Teresa,AL
BOJ,Burgas Airport,BG
GOZ,Gorna Oryahovitsa Airport,BG
PDV,Plovdiv International Airport,BG
SOF,Sofia Airport,BG
VAR,Varna Airport,BG
